,"doc_std_name","doc_std_name_id","check","orbis_id","orbis_name","name_type_x","number_patents","elastic_score","levensthein_score","jaro_winkler_score","ratcliff_obershelp_score","pam_score","query","guo_bvd_id","guo_name"
180,"UNIV HONG KONG POLYTECHNIC",70067,"n","HK0005647873","MERIAL HONG KONG LIMITED","original",436,16,60,1,1,69,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
460,"ATMEL GERMANY GMBH",831,"n","DE2012464265","AVICEM GERMANY MANAGEMENT GMBH","original",302,14,62,1,1,66,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
383,"ENGEL AUSTRIA GMBH",18934,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",219,14,67,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
384,"ENGEL AUSTRIA GMBH",18934,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",219,14,67,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
284,"WAGO VERWALTUNGS GMBH",14170,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",195,15,55,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
27,"HILITE GERMANY GMBH",216934,"x","DE2151608511","HILITE EUROPE HOLDING GMBH","original",112,19,62,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
345,"GARMIN SWITZERLAND GMBH",54485,"n","CHCHE402207577","FMC SWITZERLAND II GMBH","original",108,15,78,1,1,73,"restricted_to_jurisdiction","US940479804","FMC CORP"
346,"GARMIN SWITZERLAND GMBH",54485,"n","CHCHE402207577","FMC SWITZERLAND II GMBH","original",108,15,78,1,1,73,"restricted_to_jurisdiction","US940479804","FMC CORP"
434,"LANZATECH NEW ZEALAND LTD",1848138,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",98,14,71,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
743,"ASSA ABLOY AUSTRALIA PTY LTD",886270,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",94,12,80,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
548,"INTEL DEUTSCHLAND GMBH",22642526,"n","DE6190197069","BOEHRINGER INGELHEIM DEUTSCHLAND GMBH","original",79,13,71,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
901,"HUNTER INDUSTRIES",27510,"n","US128889674L","HILITE INDUSTRIES","original",75,11,82,1,1,69,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
365,"ATOMIC AUSTRIA GMBH",32817,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",72,14,75,1,1,72,"restricted_to_jurisdiction","US940479804","FMC CORP"
366,"ATOMIC AUSTRIA GMBH",32817,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",72,14,75,1,1,72,"restricted_to_jurisdiction","US940479804","FMC CORP"
894,"NPS PHARMA INC",10316,"n","US*290244220","ORION PHARMA INC .","original",55,11,80,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
479,"SIGRAM SCHINDLER BETEILIGUNGS GMBH",23441424,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",54,14,68,1,1,68,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
480,"SIGRAM SCHINDLER BETEILIGUNGS GMBH",23441424,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",54,14,68,1,1,68,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
710,"LSI INDUSTRIES INC",311887,"n","US129589198L","HILITE INDUSTRIES INC","original",49,12,72,1,1,66,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
367,"MESSER AUSTRIA GMBH",190539,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",44,14,60,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
368,"MESSER AUSTRIA GMBH",190539,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",44,14,60,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
616,"ORICA AUSTRALIA PTY LTD",209446,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",44,13,76,1,1,69,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
395,"PEWAG AUSTRIA GMBH",238489,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",39,14,62,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
396,"PEWAG AUSTRIA GMBH",238489,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",39,14,62,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
445,"AIR NEW ZEALAND LTD",1074631,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",39,14,76,1,1,71,"restricted_to_jurisdiction","US940479804","FMC CORP"
579,"NANO X GMBH",313043,"n","DE6190363015","BI X GMBH","original",38,13,60,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
729,"PARI PHARMA GMBH",151827,"n","DE2150198453","ORION PHARMA GMBH","original",38,12,85,1,1,70,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
852,"MERCK CANADA INC",187758,"n","CA133235658L","MERIAL CANADA INC","original",35,11,85,1,1,72,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
853,"MERCK CANADA INC",187758,"n","CA133235658L","MERIAL CANADA INC","original",35,11,85,1,1,72,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
864,"THALES CANADA INC",2007790,"n","CA132729908L","MERIAL CANADA INC","original",34,11,76,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
865,"THALES CANADA INC",2007790,"n","CA132729908L","MERIAL CANADA INC","original",34,11,76,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
12,"HOWMET CORP",253031,"n","US251580719L","ALCOA INC/ HOWMET CORP","original",32,21,69,0,1,76,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
13,"HOWMET CORP",253031,"n","US251580719L","ALCOA INC/ HOWMET CORP","original",32,21,69,0,1,76,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
343,"ALERE SWITZERLAND GMBH",943551,"n","CHCHE402207577","FMC SWITZERLAND II GMBH","original",32,15,76,1,1,71,"restricted_to_jurisdiction","US940479804","FMC CORP"
344,"ALERE SWITZERLAND GMBH",943551,"n","CHCHE402207577","FMC SWITZERLAND II GMBH","original",32,15,76,1,1,71,"restricted_to_jurisdiction","US940479804","FMC CORP"
429,"BAYER NEW ZEALAND LTD",5281105,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",31,14,73,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
485,"ARNTZ BETEILIGUNGS GMBH & CO",22127268,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",30,14,67,1,1,67,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
486,"ARNTZ BETEILIGUNGS GMBH & CO",22127268,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",30,14,67,1,1,67,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
711,"GROTE INDUSTRIES INC",617033,"n","US129589198L","HILITE INDUSTRIES INC","original",28,12,83,1,1,68,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
629,"KONAMI AUSTRALIA PTY LTD",845731,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",27,13,74,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
889,"JONES PHARMA INC",2431481,"n","US*290244220","ORION PHARMA INC .","original",25,11,81,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
908,"FRANK S INTERNATIONAL LLC",22131405,"n","US319116437L","FMC INTERNATIONAL LLC","original",25,10,83,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
355,"LISEC AUSTRIA GMBH",19486531,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",24,14,62,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
356,"LISEC AUSTRIA GMBH",19486531,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",24,14,62,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
288,"MARQUARDT VERWALTUNGS GMBH",2085107,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",21,15,57,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
